ship;flag;lenght;draft;navigation;arrival;notice;office;first_operation;second_operation;first_goods;second_goods;first_weight;second_weight;voyage;duv;priority;terminal;ship_type
JAG SPARROW;LIBERIANA;228;7;Long;04/12/2023 04:42:00;5107-1;AGÊNCIA MARÍTIMA ORION;DESC   ;0;OLEO DIESEL;0;56262;0;5318-82023;524652023;B;ALAMOA;LIQUIDO A GRANEL
OWL 5;ILHAS MARSHALL;129;8.4;Long;08/12/2023 09:30:00;5207-8;ROCHAMAR AGENCIA MARITIMA S/A;EMB ;0;GRAN.LIQUIDO NAO ESPECIF;0;3750;0;5518-72023;548962023;B;ALAMOA;LIQUIDO A GRANEL
FAIRCHEM EDGE;ILHAS MARSHALL;147;9;Long;13/12/2023 07:12:00;5250-7;LBH BRASIL AG MARITIMO LTDA;EMB ;0;ETHANOL;0;16800;0;5438-32023;541272023;B;ALAMOA;LIQUIDO A GRANEL
ELAN VITAL;ILHAS MARSHALL;228;7.5;Long;16/12/2023 11:12:00;5302-3;NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP;DESC   ;0;OLEO DIESEL;0;21530;0;5471--2023;518592023;B;ALAMOA;LIQUIDO A GRANEL
ANITA GARIBALDI;BRASILEIRA;228;11.2;Long;18/12/2023 09:30:00;5329-5;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;42000;0;5592-22023;556302023;B;ALAMOA;LIQUIDO A GRANEL
JAKARTA;LIBERIANA;183;11;Cabo;19/12/2023 15:00:00;5345-7;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;27000;0;5597-42023;560182023;B;ALAMOA;LIQUIDO A GRANEL
TROY;ILHAS DE COOK;229;8.5;Long;20/12/2023 01:00:00;5348-1;NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP;DESC   ;0;OLEO DIESEL;0;29900;0;5497-02023;543152023;B;ALAMOA;LIQUIDO A GRANEL
FLUMAR BRASIL;BRASILEIRA;183;11;Cabo;21/12/2023 20:30:00;5384-8;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;30000;0;5656--2023;566562023;B;ALAMOA;LIQUIDO A GRANEL
SAKURA ADVANCE;PANAMENHA;170;7;Long;22/12/2023 11:18:00;5395-3;WAYPOINT AGENCIA MARITIMA LTDA;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;7000;0;5524-72023;549832023;B;ALAMOA;LIQUIDO A GRANEL
STOLT SYPRESS;LIBERIANA;182;9;Long;24/12/2023 18:04:00;5426-7;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB ;0;GRAN.LIQUIDO NAO ESPECIF;0;20138;0;5634-72023;562402023;B;AGEO(ILHA);LIQUIDO A GRANEL
MOCKINGBIRD;SINGAPURENSE;147;5;Long;24/12/2023 22:36:00;5428-3;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;GRAN.LIQUIDO NAO ESPECIF;GRAN.LIQUIDO NAO ESPECIF;3464;2400;5530-72023;550992023;B;ILHA;LIQUIDO A GRANEL
G SILVER;COREANA;146;8;Long;25/12/2023 01:35:00;5429-1;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;4150;0;5589-12023;557582023;B;ALAMOA;LIQUIDO A GRANEL
STOLT VIRTUE;LIBERIANA;159;8;Long;25/12/2023 04:35:00;5433-0;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;5567;0;5692-72023;565022023;B;ALA.-I.B.;LIQUIDO A GRANEL
PAMPERO;ILHAS MARSHALL;226;8;Long;25/12/2023 21:00:00;5447-0;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;DESC   ;0;GAS LIQUEFEITO;0;10500;0;5573-82023;559712023;B;ALAMOA;LIQUIDO A GRANEL
ENDLESS SUMMER;ILHAS MARSHALL;183;7;Cabo;26/12/2023 06:42:00;5454-2;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;25000;0;5747-62023;573882023;B;ALAMOA;LIQUIDO A GRANEL
BOW ATLANTIC;BRASILEIRA;142;8;Cabo;26/12/2023 15:15:00;5465-8;AGENCIA MARITIMA GRANEL LTDA.;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;12000;0;5695-62023;569342023;B;ILHA;LIQUIDO A GRANEL
MAERSK KIERA;SINGAPURENSE;183;8.5;Cabo;27/12/2023 09:00:00;5473-9;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;25000;0;5746-02023;573892023;B;ALAMOA;LIQUIDO A GRANEL
OCTONAUT;ILHAS MARSHALL;146;9.7;Long;27/12/2023 11:41:00;5476-3;WILLIAMS SERVICOS MARITIMOS LTDA.;EMB ;0;ALCOOL;0;12702;0;5757-12023;571032023;B;ALAMOA;LIQUIDO A GRANEL
YARA FREYA;NORUEGUESA;180;7;Long;27/12/2023 16:30:00;5478-0;WILHELMSEN PORT SERVICES BRASIL LTDA;DESC   ;0;PRODUTOS QUIMICOS;0;18800;0;5727-52023;571322023;B;ULTRAFERTIL;LIQUIDO A GRANEL
ATLANTIC PRIDE;ITALIANA;183;11.5;Long;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;36000;0;5240-92023;518152023;B;ALAMOA;LIQUIDO A GRANEL
AVON;LIBERIANA;183;10;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;30000;0;4498-22023;449042023;B;ALAMOA;LIQUIDO A GRANEL
CLYDE;LIBERIANA;183;10;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;20000;0;4783-92023;474832023;B;ALAMOA;LIQUIDO A GRANEL
CUMBIA 1;ILHAS MARSHALL;183;12;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;15000;0;5594-52023;558722023;B;ALAMOA;LIQUIDO A GRANEL
GARRINCHA;BRASILEIRA;249;12.1;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;25000;0;5731-22023;572042023;B;ALAMOA;LIQUIDO A GRANEL
GAVI C;LIBERIANA;184;11;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;35000;0;5744-72023;573262023;B;ALAMOA;LIQUIDO A GRANEL
GAVI C;LIBERIANA;184;11;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;35000;0;5593-92023;555762023;B;ALAMOA;LIQUIDO A GRANEL
HORIZON THEANO;LIBERIANA;183;12;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;25000;0;5568-42023;558752023;B;ALAMOA;LIQUIDO A GRANEL
JAKARTA;LIBERIANA;183;11;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;27000;0;3740-42023;380042023;B;ALAMOA;LIQUIDO A GRANEL
JOROPO;ILHAS MARSHALL;183;7.6;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;GASOLINA COMUM;0;20000;0;5676-12023;568042023;B;ALAMOA;LIQUIDO A GRANEL
MAERSK MALAGA;SINGAPURENSE;183;11.8;Long;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;27000;0;4860-32023;478692023;B;ALAMOA;LIQUIDO A GRANEL
RÔMULO ALMEIDA;BRASILEIRA;183;10.2;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;GASOLINA COMUM;0;19000;0;5493-42023;546342023;B;ALAMOA;LIQUIDO A GRANEL
SALSA;ILHAS MARSHALL;180;6.4;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;GASOLINA COMUM;0;20000;0;5588-52023;556782023;B;ALAMOA;LIQUIDO A GRANEL
SERGIO BUARQUE DE HOLANDA;BRASILEIRA;183;10.5;Cabo;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;34000;0;4590-62023;457342023;B;ALAMOA;LIQUIDO A GRANEL
TAVRICHESKY BRIDGE;LIBERIANA;183;7.6;Long;28/12/2023;;TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;35884;0;5659-02023;556692023;B;AGEO(ILHA);LIQUIDO A GRANEL
TORM MARY;DINAMARQUESA;183;12;Long;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO COMBUSTIVEL;0;45000;0;5567-82023;556562023;B;ALAMOA;LIQUIDO A GRANEL
VINJERAC;CROATA;195;11;Long;28/12/2023;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;GASOLINA COMUM;0;30000;0;5450-32023;538802023;B;ALAMOA;LIQUIDO A GRANEL
STENA IMAGE;DINAMARQUESA;183;5;Long;28/12/2023 10:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;7500;0;5741-82023;571992023;B;AGEO(ILHA);LIQUIDO A GRANEL
SILVERLIGHT;ILHAS MARSHALL;228;7.1;Long;28/12/2023 12:48:00;5492-5;TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA;DESC   ;0;OLEO DIESEL;0;16600;0;5694-02023;569032023;B;ALAMOA;LIQUIDO A GRANEL
SCF PRIME;LIBERIANA;228;7;Long;28/12/2023 16:00:00;5493-3;AGÊNCIA MARÍTIMA ORION;DESC   ;0;OLEO DIESEL;0;51566;0;5500--2023;545882023;B;ALAMOA;LIQUIDO A GRANEL
CARLOS FISCHER;LIBERIANA;205;10.5;Long;30/12/2023 08:00:00;;RELIANCE AGENCIAMENTO E SERVICOS PORTUARIOS LTDA.;EMB ;0;SUCOS CITRICOS A GRANEL;0;30080;0;5797-32023;578752023;B;29;LIQUIDO A GRANEL
MTM HOUSTON;SINGAPURENSE;144;6.6;Long;31/12/2023 07:00:00;;WILLIAMS SERVICOS MARITIMOS LTDA.;EMB ;0;GRAN.LIQUIDO NAO ESPECIF;0;3303;0;5832-32023;576102023;B;ALAMOA;LIQUIDO A GRANEL
ZEYNEP;REP. GABON;184;9;Cabo;31/12/2023 10:00:00;;TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA;DESC   ;0;OLEO DIESEL;0;27687;0;5806-22023;576882023;B;AGEO(ILHA);LIQUIDO A GRANEL
FILIZ;TURCA;183;8.5;Cabo;01/01/2024 05:00:00;;TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;36296;0;5831-72023;556742023;B;AGEO(ILHA);LIQUIDO A GRANEL
STOLT SUN;GRANDCAYMANA;163;8;Long;01/01/2024 05:00:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;1516;0;5761-92023;571252023;B;ILHA;LIQUIDO A GRANEL
SANTIAGO I;CIPRIOTA;183;10;Long;02/01/2024 10:00:00;;TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA;EMB;DESC;SODA CAUSTICA;SODA CAUSTICA;6000;6566;5775-02023;576622023;B;AGEO(ILHA);LIQUIDO A GRANEL
BOW OCEANIC;ILHAS MARSHALL;142;8;Cabo;03/01/2024 10:00:00;;AGENCIA MARITIMA GRANEL LTDA.;DESC   ;0;GRAN.LIQUIDO NAO ESPECIF;0;4010;0;5798-02023;579552023;B;DOW;LIQUIDO A GRANEL
ORANGE OCEAN;LIBERIANA;170;9;Long;06/01/2024;;LACHMANN AGENCIA MARITIMA LTDA;EMB ;0;SUCOS CITRICOS A GRANEL;0;17700;0;5807-92023;579222023;B;CUTRALE;LIQUIDO A GRANEL
MAERSK KATALIN;SINGAPURENSE;183;9.6;Cabo;06/01/2024 10:00:00;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB ;0;OLEO DIESEL;0;25000;0;5827-02023;580312023;B;ALAMOA;LIQUIDO A GRANEL
ORANGE STAR;LIBERIANA;190;9;Long;10/01/2024;;LACHMANN AGENCIA MARITIMA LTDA;EMB ;0;SUCOS CITRICOS A GRANEL;0;32000;0;5833-02023;579272023;B;CUTRALE;LIQUIDO A GRANEL
ORANGE SKY;LIBERIANA;172;9;Long;14/01/2024;;LACHMANN AGENCIA MARITIMA LTDA;EMB ;0;SUCOS CITRICOS A GRANEL;0;20700;0;5834-62023;579312023;B;CUTRALE;LIQUIDO A GRANEL
ORANGE WAVE;LIBERIANA;157;9;Long;17/01/2024;;LACHMANN AGENCIA MARITIMA LTDA;EMB ;0;SUCOS CITRICOS A GRANEL;0;12600;0;5835-22023;579392023;B;CUTRALE;LIQUIDO A GRANEL
AQUA REGIA;PANAMENHA;170;13;Long;28/12/2023;;FERTIMPORT S/A.;DESC   ;0;TRIGO A GRANEL;0;29000;0;4310-32023;428782023;B;29/30;TRIGO
BERGE SNAEFELL;REINO UNIDO;180;5;Long;28/12/2023;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;DESC   ;0;TRIGO A GRANEL;0;15000;0;5660-82023;567382023;B;29/30;TRIGO
NAVA ULYSSES;ILHAS MARSHALL;180;6.5;Long;31/12/2023;;FERTIMPORT S/A.;DESC   ;0;TRIGO A GRANEL;0;27500;0;5735-82023;569822023;B;29/30;TRIGO
RUTH;LIBERIANA;229;13;Long;23/10/2023 07:00:00;4453-9;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB ;0;MILHO A GRANEL;0;68000;0;4682-82023;462252023;B;TEG;GRANEIS DE ORIGEM VEGETAL
THE WISE;PANAMENHA;225;13;Long;15/11/2023 06:24:00;4823-2;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB ;0;MILHO A GRANEL;0;66000;0;5136-72023;507892023;B;SUG.26;GRANEIS DE ORIGEM VEGETAL
XING HUAN HAI;SINGAPURENSE;227;13.1;Long;22/11/2023 17:54:00;4933-6;FERTIMPORT S/A.;EMB ;0;PELLETS A GRANEL;0;68000;0;5229-52023;512232023;B;39;GRANEIS DE ORIGEM VEGETAL
ANASTASIA K;BAHAMENSE;229;13.3;Long;26/11/2023 23:12:00;4995-6;WORLD SHIPPING AGENCIAMENTOS LTDA;EMB ;0;PELLETS A GRANEL;0;62000;0;5316-52023;524372023;B;35/37;GRANEIS DE ORIGEM VEGETAL
NESTOR S;GREGA;225;13.3;Long;07/12/2023 12:00:00;5163-2;WAYPOINT AGENCIA MARITIMA LTDA;EMB ;0;MILHO A GRANEL;0;1;0;5398-12023;534372023;B;38;GRANEIS DE ORIGEM VEGETAL
EVER HARMONY;PANAMENHA;180;10;Long;08/12/2023 10:42:00;5178--;WAYPOINT AGENCIA MARITIMA LTDA;EMB ;0;MILHO A GRANEL;0;1;0;5397-52023;534712023;B;ULTRAFERTIL;GRANEIS DE ORIGEM VEGETAL
RUBY STAR;BAHAMENSE;229;13;Long;08/12/2023 16:39:00;5181--;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB ;0;MILHO A GRANEL;0;68000;0;5458-42023;542942023;B;T.E.A.G.;GRANEIS DE ORIGEM VEGETAL
WISDOM DIVA;PANAMENHA;229;14.1;Long;16/12/2023 10:00:00;5298-1;ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.;EMB ;0;MILHO A GRANEL;0;72920;0;5547-72023;553892023;B;TGG;GRANEIS DE ORIGEM VEGETAL
NAVIOS HORIZON I;PANAMENHA;229;14.4;Long;20/12/2023 18:00:00;5365-1;ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.;EMB ;0;MILHO A GRANEL;0;74655;0;5603-42023;548712023;B;38;GRANEIS DE ORIGEM VEGETAL
AGIOS KONSTANTINOS;CIPRIOTA;225;13.3;Long;21/12/2023 00:58:00;5372-4;FERTIMPORT S/A.;EMB ;0;PELLETS A GRANEL;0;64000;0;5523--2023;546432023;B;39;GRANEIS DE ORIGEM VEGETAL
THE GUARDIAN;PANAMENHA;229;13;Long;21/12/2023 03:42:00;5375-9;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB ;0;MILHO A GRANEL;0;1;0;5683-82023;568832023;B;CODESP-RUA;GRANEIS DE ORIGEM VEGETAL
ADMIRAL REIWA;LIBERIANA;229;13.2;Long;21/12/2023 16:26:00;5383-0;CARGILL AGRICOLA S/A.;EMB ;0;SOJA A GRANEL;0;66000;0;5646-52023;561212023;B;ULTRAFERTIL;GRANEIS DE ORIGEM VEGETAL
CAPE KENNEDY;CIPRIOTA;229;13;Long;28/12/2023;;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB ;0;MILHO A GRANEL;0;68000;0;5563-22023;557492023;B;TEG;GRANEIS DE ORIGEM VEGETAL
KYOTO STAR;LIBERIANA;229;13.3;Long;28/12/2023;;FERTIMPORT S/A.;EMB ;0;SOJA A GRANEL;0;72450;0;3852-72023;391112023;B;ULTRAFERTIL;GRANEIS DE ORIGEM VEGETAL
NAVIOS HOPE;PANAMENHA;225;13.3;Long;28/12/2023;;FERTIMPORT S/A.;EMB ;0;MILHO A GRANEL;0;68250;0;4194-32023;423692023;B;19;GRANEIS DE ORIGEM VEGETAL
OLIVIA R;ILHAS MARSHALL;229;13;Long;28/12/2023;;CARGILL AGRICOLA S/A.;EMB ;0;MILHO A GRANEL;0;67000;0;4191-62022;435292022;B;TEG;GRANEIS DE ORIGEM VEGETAL
VITAKOSMOS;LIBERIANA;229;13;Long;28/12/2023;;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB ;0;PELLETS A GRANEL;0;27000;0;5411-82023;534952023;B;35/37;GRANEIS DE ORIGEM VEGETAL
NAVIOS SPHERA;PANAMENHA;229;13;Long;28/12/2023 02:30:00;5485-2;CARGILL AGRICOLA S/A.;EMB ;0;MILHO A GRANEL;0;66000;0;5649-42023;566512023;B;38;GRANEIS DE ORIGEM VEGETAL
STAR CRIMSON;PANAMENHA;200;11.8;Long;28/12/2023 12:00:00;;ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.;EMB ;0;PELLETS A GRANEL;0;50400;0;5765-42023;576272023;B;38;GRANEIS DE ORIGEM VEGETAL
MSXT BELLONA;ILHAS MARSHALL;229;13;Long;30/12/2023;;ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.;EMB ;0;MILHO A GRANEL;0;71500;0;5716-32023;570822023;B;39;GRANEIS DE ORIGEM VEGETAL
EASTERN HEATHER;HONG KONG;229;13.3;Long;01/01/2024;;FERTIMPORT S/A.;EMB ;0;MILHO A GRANEL;0;68000;0;5732-92023;569502023;B;TGG;GRANEIS DE ORIGEM VEGETAL
LONGEVITY DIVA;LIBERIANA;229;12;Long;01/01/2024;;ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.;EMB ;0;MILHO A GRANEL;0;76129;0;5714--2023;569152023;B;TGG;GRANEIS DE ORIGEM VEGETAL
CAPTAIN GEORGE;LIBERIANA;229;13.3;Long;06/01/2024;;FERTIMPORT S/A.;EMB ;0;MILHO A GRANEL;0;65000;0;5721-72023;569482023;B;TGG;GRANEIS DE ORIGEM VEGETAL
DOUKATO;MALTESA;229;11;Long;06/01/2024;;WILLIAMS SERVICOS MARITIMOS LTDA.;EMB ;0;PELLETS A GRANEL;0;34000;0;5764-82023;576182023;B;38;GRANEIS DE ORIGEM VEGETAL
CRYSTAL;SINGAPURENSE;210;11.8;Long;10/01/2024 08:00:00;;ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.;EMB ;0;PELLETS A GRANEL;0;62500;0;5795--2023;567742023;B;38;GRANEIS DE ORIGEM VEGETAL
HSL TAMPA;PANAMENHA;229;12.2;Long;11/01/2024 18:00:00;;AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.;EMB ;0;SOJA A GRANEL;0;66000;0;5826-32023;579412023;B;AR.12A - BG/ITA;GRANEIS DE ORIGEM VEGETAL
